title,actor name,director name,year,genre,aggregate value
Eros,"Berger, Carin","Soderbergh, Steven",2004,Drama,"Eros (2004) Berger, Carin Soderbergh, Steven 2004 Drama"
Midnight Cowboy,"Carver, Randall","Schlesinger, John",1969,Drama,"Midnight Cowboy (1969) Carver, Randall Schlesinger, John 1969 Drama"
Experiment Perilous,"Brent, George (I)","Tourneur, Jacques",1944,Romance,"Experiment Perilous (1944) Brent, George (I) Tourneur, Jacques 1944 Romance"
Maytime,"Borland, Barlowe","Leonard, Robert Z.",1937,Romance,"Maytime (1937) Borland, Barlowe Leonard, Robert Z. 1937 Romance"
Strangers in Good Company,"Garneau, Constance","Scott, Cynthia (I)",1990,Drama,"Strangers in Good Company (1990) Garneau, Constance Scott, Cynthia (I) 1990 Drama"
Strictly Business,"Washington, Isaiah (I)","Hudson, Rolando",1991,Comedy,"Strictly Business (1991) Washington, Isaiah (I) Hudson, Rolando 1991 Comedy"
Stealing Harvard,"Rosales, Gilbert","McCulloch, Bruce",2002,Comedy,"Stealing Harvard (2002) Rosales, Gilbert McCulloch, Bruce 2002 Comedy"
"Perfect You, The","Dollar, Aubrey","Miller, Matthew (II)",2002,Comedy,"Perfect You, The (2002) Dollar, Aubrey Miller, Matthew (II) 2002 Comedy"
Oriundi,"Cardozo, Luciano S.","Bravo, Ricardo (II)",1999,Drama,"Oriundi (1999) Cardozo, Luciano S. Bravo, Ricardo (II) 1999 Drama"
Hero,"Mehta, Neeta","Ghai, Subhash",1983,Romance,"Hero (1983/II) Mehta, Neeta Ghai, Subhash 1983 Romance"
Black Water,,"Traucki, Andrew",2007,Thriller,"Black Water (2007)  Traucki, Andrew 2007 Thriller"
Otes?nek,"Vondracek, Gustav","Svankmajer, Jan",2000,Comedy,"Otes?nek (2000) Vondracek, Gustav Svankmajer, Jan 2000 Comedy"
"Monde sans soleil, Le",,"Cousteau, Jacques-Yves",1964,Documentary,"Monde sans soleil, Le (1964)  Cousteau, Jacques-Yves 1964 Documentary"
Cup-Tie Honeymoon,"Youens, Bernard","Blakeley, John E.",1948,Comedy,"Cup-Tie Honeymoon (1948) Youens, Bernard Blakeley, John E. 1948 Comedy"
Alien Nation: The Udara Legacy,"Rivera, Mailon","Johnson, Kenneth (I)",1997,Sci-Fi,"Alien Nation: The Udara Legacy (1997) (TV) Rivera, Mailon Johnson, Kenneth (I) 1997 Sci-Fi"
Far from the Madding Crowd,"Copley, Peter","Renton, Nicholas",1998,Drama,"Far from the Madding Crowd (1998) (TV) Copley, Peter Renton, Nicholas 1998 Drama"
"Big Broadcast of 1938, The","Duval, Yvonne","Leisen, Mitchell",1938,Comedy,"Big Broadcast of 1938, The (1938) Duval, Yvonne Leisen, Mitchell 1938 Comedy"
Equus,"Reid, Kate (I)","Lumet, Sidney",1977,Horror,"Equus (1977) Reid, Kate (I) Lumet, Sidney 1977 Horror"
Mne dvadtsat let,"Zinovyeva, Zinaida","Khutsiyev, Marlen",1964,Drama,"Mne dvadtsat let (1964) Zinovyeva, Zinaida Khutsiyev, Marlen 1964 Drama"
All Over Me,"Ottavino, John (I)","Sichel, Alex",1997,Drama,"All Over Me (1997) Ottavino, John (I) Sichel, Alex 1997 Drama"
Alien: Resurrection,"Hahn, Archie","Jeunet, Jean-Pierre",1997,Horror,"Alien: Resurrection (1997) Hahn, Archie Jeunet, Jean-Pierre 1997 Horror"
Glitter,"Allodi, James","Curtis-Hall, Vondie",2001,Music,"Glitter (2001) Allodi, James Curtis-Hall, Vondie 2001 Music"
Max Magician and the Legend of the Rings,"Stultz, Timothy","Summerfield, Kevin",2002,,"Max Magician and the Legend of the Rings (2002) (V) Stultz, Timothy Summerfield, Kevin 2002"
Patton,"Lange, Hellmut","Schaffner, Franklin J.",1970,Drama,"Patton (1970) Lange, Hellmut Schaffner, Franklin J. 1970 Drama"
"Elisa, vida m?a","Rey, Fernando (I)","Saura, Carlos",1977,Drama,"Elisa, vida m?a (1977) Rey, Fernando (I) Saura, Carlos 1977 Drama"
Peau d'?ne,Rufus (I),"Demy, Jacques",1970,Romance,"Peau d'?ne (1970) Rufus (I) Demy, Jacques 1970 Romance"
97 ga yau hei si,"Yeung, Pauline","Cheung, Alfred",1997,Comedy,"97 ga yau hei si (1997) Yeung, Pauline Cheung, Alfred 1997 Comedy"
"Young Lions, The","Wiss, Doris","Dmytryk, Edward",1958,Action,"Young Lions, The (1958) Wiss, Doris Dmytryk, Edward 1958 Action"
Noites Cariocas,Oscarito,"Cad?camo, Enrique",1936,Comedy,"Noites Cariocas (1936) Oscarito Cad?camo, Enrique 1936 Comedy"
Loverboy,"Clark, Spencer Treat","Bacon, Kevin",2005,Drama,"Loverboy (2005) Clark, Spencer Treat Bacon, Kevin 2005 Drama"
"Canterbury Tale, A","Elvidge, Cliff","Powell, Michael (I)",1944,History,"Canterbury Tale, A (1944) Elvidge, Cliff Powell, Michael (I) 1944 History"
Tom White,"Harrington, Kevin (I)","Tsilimidos, Alkinos",2004,Drama,"Tom White (2004) Harrington, Kevin (I) Tsilimidos, Alkinos 2004 Drama"
Molly,"Van Douglas, Erl","Duigan, John",1999,Comedy,"Molly (1999) Van Douglas, Erl Duigan, John 1999 Comedy"
Murder Ahoy,"Adams, Bernard","Pollock, George (I)",1964,Crime,"Murder Ahoy (1964) Adams, Bernard Pollock, George (I) 1964 Crime"
Murder Most Foul,"Moody, Ron","Pollock, George (I)",1964,Comedy,"Murder Most Foul (1964) Moody, Ron Pollock, George (I) 1964 Comedy"
Muscle Beach Party,"Sachse, Salli","Asher, William (I)",1964,Comedy,"Muscle Beach Party (1964) Sachse, Salli Asher, William (I) 1964 Comedy"
My Fair Lady,"Baker, Frank (I)","Cukor, George",1964,Comedy,"My Fair Lady (1964) Baker, Frank (I) Cukor, George 1964 Comedy"
Captain America,"Strange, Robert (I)","Clifton, Elmer",1944,Sci-Fi,"Captain America (1944) Strange, Robert (I) Clifton, Elmer 1944 Sci-Fi"
"Canterville Ghost, The","Johnson, Tor","McLeod, Norman Z.",1944,Comedy,"Canterville Ghost, The (1944) Johnson, Tor McLeod, Norman Z. 1944 Comedy"
Casanova Brown,"Sarno, Hector","Wood, Sam (I)",1944,Comedy,"Casanova Brown (1944) Sarno, Hector Wood, Sam (I) 1944 Comedy"
Afterglow,"Tanguay, Bernard","Rudolph, Alan",1997,Comedy,"Afterglow (1997) Tanguay, Bernard Rudolph, Alan 1997 Comedy"
Affliction,"Osborne, Holmes","Schrader, Paul (I)",1997,Drama,"Affliction (1997) Osborne, Holmes Schrader, Paul (I) 1997 Drama"
Zhantai,"Yang, Tian Yi","Jia, Zhang Ke",2000,History,"Zhantai (2000) Yang, Tian Yi Jia, Zhang Ke 2000 History"
Mosura tai Gojira,"Kosugi, Yoshio (I)","Honda, Ishir?",1964,Drama,"Mosura tai Gojira (1964) Kosugi, Yoshio (I) Honda, Ishir? 1964 Drama"
"Moon-Spinners, The","Stassino, Paul","Neilson, James",1964,Family,"Moon-Spinners, The (1964) Stassino, Paul Neilson, James 1964 Family"
Air Bud,"Brazeau, Jay","Smith, Charles Martin",1997,Comedy,"Air Bud (1997) Brazeau, Jay Smith, Charles Martin 1997 Comedy"
Air Force One,"Woolf, Alan","Petersen, Wolfgang (I)",1997,Thriller,"Air Force One (1997) Woolf, Alan Petersen, Wolfgang (I) 1997 Thriller"
Local Color,"Morgan, Trevor (I)","Gallo, George",2006,Drama,"Local Color (2006) Morgan, Trevor (I) Gallo, George 2006 Drama"
Morozko,"Kubatsky, Anatoli","Rou, Aleksandr",1964,Family,"Morozko (1964) Kubatsky, Anatoli Rou, Aleksandr 1964 Family"
Malevolence,"Bristoll, Timothy J.","Mena, Stevan",2004,Horror,"Malevolence (2004/I) Bristoll, Timothy J. Mena, Stevan 2004 Horror"
"Duellists, The","Stephens, Robert (I)","Scott, Ridley",1977,Drama,"Duellists, The (1977) Stephens, Robert (I) Scott, Ridley 1977 Drama"
C.H.U.D. II - Bud the Chud,"Revill, Clive","Irving, David (I)",1989,Horror,"C.H.U.D. II - Bud the Chud (1989) Revill, Clive Irving, David (I) 1989 Horror"
"Buccaneer, The","Borland, Barlowe","DeMille, Cecil B.",1938,Adventure,"Buccaneer, The (1938) Borland, Barlowe DeMille, Cecil B. 1938 Adventure"
Mom and Dad Save the World,"Angel, Jack (I)","Beeman, Greg",1992,Comedy,"Mom and Dad Save the World (1992) Angel, Jack (I) Beeman, Greg 1992 Comedy"
Marnie,"Selzer, Milton","Hitchcock, Alfred (I)",1964,Drama,"Marnie (1964) Selzer, Milton Hitchcock, Alfred (I) 1964 Drama"
Man's Favorite Sport?,"Bendixen, Holger","Hawks, Howard",1964,Comedy,"Man's Favorite Sport? (1964) Bendixen, Holger Hawks, Howard 1964 Comedy"
3 Ninjas: High Noon at Mega Mountain,"Dirker, James B.","McNamara, Sean (I)",1998,Comedy,"3 Ninjas: High Noon at Mega Mountain (1998) Dirker, James B. McNamara, Sean (I) 1998 Comedy"
"Bridge of San Luis Rey, The","Bari, Lynn","Lee, Rowland V.",1944,Drama,"Bridge of San Luis Rey, The (1944) Bari, Lynn Lee, Rowland V. 1944 Drama"
9 millimeter,"Roberto, Paolo","Lindmark, Peter",1997,Drama,"9 millimeter (1997) Roberto, Paolo Lindmark, Peter 1997 Drama"
8 Heads in a Duffel Bag,"Le Don, Horacio","Schulman, Tom (I)",1997,Comedy,"8 Heads in a Duffel Bag (1997) Le Don, Horacio Schulman, Tom (I) 1997 Comedy"
4 Little Girls,"King, Shirley Wesley","Lee, Spike",1997,History,"4 Little Girls (1997) King, Shirley Wesley Lee, Spike 1997 History"
Aar Ya Paar,"Khandelkar, Ravi","Mehta, Ketan",1997,Thriller,"Aar Ya Paar (1997) Khandelkar, Ravi Mehta, Ketan 1997 Thriller"
Buffalo Bill,"Robbins, Walt","Wellman, William A.",1944,Western,"Buffalo Bill (1944) Robbins, Walt Wellman, William A. 1944 Western"
"B?te humaine, La","Roussel, Jacques","Renoir, Jean",1938,Drama,"B?te humaine, La (1938) Roussel, Jacques Renoir, Jean 1938 Drama"
Leadbelly,"Greene, Loretta","Parks, Gordon",1976,Drama,"Leadbelly (1976) Greene, Loretta Parks, Gordon 1976 Drama"
Lebassi Baraye Arossi,,"Kiarostami, Abbas",1976,,"Lebassi Baraye Arossi (1976)  Kiarostami, Abbas 1976"
Mail Order Bride,"Sayer, Diane","Kennedy, Burt",1964,Comedy,"Mail Order Bride (1964) Sayer, Diane Kennedy, Burt 1964 Comedy"
Maciste e la regina di Samar,"Morici, Franco","Gentilomo, Giacomo",1964,Sci-Fi,"Maciste e la regina di Samar (1964) Morici, Franco Gentilomo, Giacomo 1964 Sci-Fi"
Absolute Power,"Kagan, Elaine","Eastwood, Clint",1997,Drama,"Absolute Power (1997) Kagan, Elaine Eastwood, Clint 1997 Drama"
Busy Buddies,"Howard, Curly","Lord, Del",1944,Short,"Busy Buddies (1944) Howard, Curly Lord, Del 1944 Short"
"Quiet, The","Cuthbert, Elisha","Babbit, Jamie",2005,Drama,"Quiet, The (2005) Cuthbert, Elisha Babbit, Jamie 2005 Drama"
One Hour in Wonderland,"Kimball, Ward","Florey, Robert",1950,Comedy,"One Hour in Wonderland (1950) (TV) Kimball, Ward Florey, Robert 1950 Comedy"
"Last Tycoon, The","Jones-Moreland, Betsy","Kazan, Elia",1976,Drama,"Last Tycoon, The (1976) Jones-Moreland, Betsy Kazan, Elia 1976 Drama"
DoUlike2watch.com,"Arsenault, Nina","Levy, Josh (I)",2003,Thriller,"DoUlike2watch.com (2003) (TV) Arsenault, Nina Levy, Josh (I) 2003 Thriller"
Addicted to Love,"Kux, Bill","Dunne, Griffin",1997,Comedy,"Addicted to Love (1997) Kux, Bill Dunne, Griffin 1997 Comedy"
Casualties of War,"Dunn, Kristopher","De Palma, Brian",1989,Drama,"Casualties of War (1989) Dunn, Kristopher De Palma, Brian 1989 Drama"
Bringing Up Baby,"Robson, May","Hawks, Howard",1938,Comedy,"Bringing Up Baby (1938) Robson, May Hawks, Howard 1938 Comedy"
"Largas vacaciones del 36, Las","Pueyo, Jorge","Camino, Jaime",1976,History,"Largas vacaciones del 36, Las (1976) Pueyo, Jorge Camino, Jaime 1976 History"
Boys Town,"Dickson, Helen (I)","Taurog, Norman",1938,Biography,"Boys Town (1938) Dickson, Helen (I) Taurog, Norman 1938 Biography"
Miracle,"Kitts, Mark (II)","O'Connor, Gavin (I)",2004,History,"Miracle (2004) Kitts, Mark (II) O'Connor, Gavin (I) 2004 History"
Checking Out,"Rich, Allan","Leland, David (I)",1989,Comedy,"Checking Out (1989) Rich, Allan Leland, David (I) 1989 Comedy"
Che ora ??,"Mastroianni, Marcello","Scola, Ettore",1989,Comedy,"Che ora ?? (1989) Mastroianni, Marcello Scola, Ettore 1989 Comedy"
Koneko monogatari,"Moore, Dudley","Hata, Masanori",1986,Comedy,"Koneko monogatari (1986) Moore, Dudley Hata, Masanori 1986 Comedy"
Bluebeard,"Sorel, Sonia","Ulmer, Edgar G.",1944,Horror,"Bluebeard (1944) Sorel, Sonia Ulmer, Edgar G. 1944 Horror"
Daai si gin,"Siu, Maggie","To, Johnny",2004,Drama,"Daai si gin (2004) Siu, Maggie To, Johnny 2004 Drama"
Cheetah,"Baird, Anthony","Blyth, Jeff",1989,Family,"Cheetah (1989) Baird, Anthony Blyth, Jeff 1989 Family"
Bon Voyage,"Blythe, John","Hitchcock, Alfred (I)",1944,Thriller,"Bon Voyage (1944) Blythe, John Hitchcock, Alfred (I) 1944 Thriller"
Wolf Dog,"Hart, John (I)","Newfield, Sam (I)",1958,Western,"Wolf Dog (1958) Hart, John (I) Newfield, Sam (I) 1958 Western"
Matrimonio all'italiana,"Di Capua, Vincenza","De Sica, Vittorio",1964,Comedy,"Matrimonio all'italiana (1964) Di Capua, Vincenza De Sica, Vittorio 1964 Comedy"
"Masque of the Red Death, The","Green, Bertie","Corman, Roger",1964,Horror,"Masque of the Red Death, The (1964) Green, Bertie Corman, Roger 1964 Horror"
...First Do No Harm,"Mignacco, Darlene","Abrahams, Jim",1997,Drama,"...First Do No Harm (1997) (TV) Mignacco, Darlene Abrahams, Jim 1997 Drama"
12 Angry Men,"Cronyn, Hume","Friedkin, William",1997,Drama,"12 Angry Men (1997) (TV) Cronyn, Hume Friedkin, William 1997 Drama"
"2 M?nner, 2 Frauen - 4 Probleme!?","Giggenbach, Robert","Naefe, Vivian",1998,Comedy,"2 M?nner, 2 Frauen - 4 Probleme!? (1998) Giggenbach, Robert Naefe, Vivian 1998 Comedy"
Luen chin chung sing,"Leung Ka Fai, Tony","Chan, Gordon",2000,,"Luen chin chung sing (2000) Leung Ka Fai, Tony Chan, Gordon 2000"
Bluebeard's Eighth Wife,"Hymer, Warren","Lubitsch, Ernst",1938,Comedy,"Bluebeard's Eighth Wife (1938) Hymer, Warren Lubitsch, Ernst 1938 Comedy"
Crimes of Fashion,"Lee, Robert (XXIII)","Gillard, Stuart",2004,Comedy,"Crimes of Fashion (2004) (TV) Lee, Robert (XXIII) Gillard, Stuart 2004 Comedy"
How They Get There,"Bueno, Rico","Jonze, Spike",1997,Short,"How They Get There (1997) Bueno, Rico Jonze, Spike 1997 Short"
Chances Are,"Thorne, June","Ardolino, Emile",1989,Comedy,"Chances Are (1989) Thorne, June Ardolino, Emile 1989 Comedy"
One Eight Seven,"Torry, Guy","Reynolds, Kevin (I)",1997,Drama,"One Eight Seven (1997) Torry, Guy Reynolds, Kevin (I) 1997 Drama"
Chandni,Beena (I),"Chopra, Yash",1989,Romance,"Chandni (1989) Beena (I) Chopra, Yash 1989 Romance"
Block-Heads,"Bond, Tommy (I)","Blystone, John G.",1938,Comedy,"Block-Heads (1938) Bond, Tommy (I) Blystone, John G. 1938 Comedy"
King Kong,"Conrad, Sid","Guillermin, John",1976,Horror,"King Kong (1976) Conrad, Sid Guillermin, John 1976 Horror"
Mary Poppins,"Delevanti, Cyril","Stevenson, Robert (I)",1964,Comedy,"Mary Poppins (1964) Delevanti, Cyril Stevenson, Robert (I) 1964 Comedy"
Klassenverh?ltnisse,"Schwarz, Libgart","Huillet, Dani?le",1984,Drama,"Klassenverh?ltnisse (1984) Schwarz, Libgart Huillet, Dani?le 1984 Drama"
Fortune's Mask,"Tavares, Arthur","Ensminger, Robert",1922,Drama,"Fortune's Mask (1922) Tavares, Arthur Ensminger, Robert 1922 Drama"
King Lear,"Cox, Brian (I)","Elliott, Michael (I)",1983,Drama,"King Lear (1983) (TV) Cox, Brian (I) Elliott, Michael (I) 1983 Drama"
Kinky Business,"Brooks, Cynthia","Ross, Jonathan (II)",1985,Adult,"Kinky Business (1985) Brooks, Cynthia Ross, Jonathan (II) 1985 Adult"
"Railway Children, The","Witty, Christopher","Jeffries, Lionel",1970,Drama,"Railway Children, The (1970) Witty, Christopher Jeffries, Lionel 1970 Drama"
Adi?s Amigo,"Phillips, Robert (I)","Williamson, Fred",1976,Comedy,"Adi?s Amigo (1976) Phillips, Robert (I) Williamson, Fred 1976 Comedy"
Northern Lights,"Cavanagh, Thomas","Yellen, Linda",1997,Drama,"Northern Lights (1997) (TV) Cavanagh, Thomas Yellen, Linda 1997 Drama"
De cierta manera,"Gonz?les, Lazarito","Garc?a Espinosa, Julio",1977,Documentary,"De cierta manera (1977) Gonz?les, Lazarito Garc?a Espinosa, Julio 1977 Documentary"
"Killing of a Chinese Bookie, The","Warren, Carol (II)","Cassavetes, John",1976,Drama,"Killing of a Chinese Bookie, The (1976) Warren, Carol (II) Cassavetes, John 1976 Drama"
Day of the Animals,"Roman, Ruth","Girdler, William",1977,Horror,"Day of the Animals (1977) Roman, Ruth Girdler, William 1977 Horror"
Kenny & Company,"Wyant, Robin","Coscarelli, Don",1976,Comedy,"Kenny & Company (1976) Wyant, Robin Coscarelli, Don 1976 Comedy"
Ye yan,"Zhang, Ziyi","Feng, Xiaogang",2006,Drama,"Ye yan (2006) Zhang, Ziyi Feng, Xiaogang 2006 Drama"
Damnation Alley,"Holley, Marcia","Smight, Jack",1977,Drama,"Damnation Alley (1977) Holley, Marcia Smight, Jack 1977 Drama"
Cohen and Tate,"Gill, Andy (I)","Red, Eric",1989,Thriller,"Cohen and Tate (1989) Gill, Andy (I) Red, Eric 1989 Thriller"
"Last September, The","Murfi, Mikel","Warner, Deborah (I)",1999,Drama,"Last September, The (1999) Murfi, Mikel Warner, Deborah (I) 1999 Drama"
"Citadel, The","Barrett, Jane","Vidor, King",1938,Drama,"Citadel, The (1938) Barrett, Jane Vidor, King 1938 Drama"
"Reflecting Skin, The","Robbins, Jacqueline","Ridley, Philip",1990,Drama,"Reflecting Skin, The (1990) Robbins, Jacqueline Ridley, Philip 1990 Drama"
"Christmas Carol, A","Shearing, Renee","Marin, Edwin L.",1938,Drama,"Christmas Carol, A (1938) Shearing, Renee Marin, Edwin L. 1938 Drama"
"Frozen North, The","Hill, Bonnie (I)","Keaton, Buster",1922,Short,"Frozen North, The (1922) Hill, Bonnie (I) Keaton, Buster 1922 Short"
Kwai tsan tseh,"Monz?, Germ?n","Hung Kam-Bo, Sammo",1984,Comedy,"Kwai tsan tseh (1984) Monz?, Germ?n Hung Kam-Bo, Sammo 1984 Comedy"
Kabhi Kabhie - Love Is Life,"Rehman, Waheeda","Chopra, Yash",1976,Drama,"Kabhi Kabhie - Love Is Life (1976) Rehman, Waheeda Chopra, Yash 1976 Drama"
Child Bride,"Richmond, Warner","Revier, Harry",1938,Drama,"Child Bride (1938) Richmond, Warner Revier, Harry 1938 Drama"
Czlowiek z marmuru,"Radziwilowicz, Jerzy","Wajda, Andrzej",1977,Drama,"Czlowiek z marmuru (1977) Radziwilowicz, Jerzy Wajda, Andrzej 1977 Drama"
Rejs,"Czerwinska, Zofia","Piwowski, Marek",1970,Comedy,"Rejs (1970) Czerwinska, Zofia Piwowski, Marek 1970 Comedy"
"Rebel Rousers, The","Earle, Candee","Cohen, Martin B.",1970,Drama,"Rebel Rousers, The (1970) Earle, Candee Cohen, Martin B. 1970 Drama"
All in Good Taste,"Hastings, Brenda","Kramreither, Anthony",1983,Comedy,"All in Good Taste (1983) Hastings, Brenda Kramreither, Anthony 1983 Comedy"
Kaze no tani no Naushika,"Sasuga, Takako","Miyazaki, Hayao",1984,Drama,"Kaze no tani no Naushika (1984) Sasuga, Takako Miyazaki, Hayao 1984 Drama"
Kazoku g?mu,"Shirakawa, Kazuko","Morita, Yoshimitsu",1983,Comedy,"Kazoku g?mu (1983) Shirakawa, Kazuko Morita, Yoshimitsu 1983 Comedy"
Last Call,"Chernick, Jonas","Bromell, Henry",2002,Drama,"Last Call (2002) (TV) Chernick, Jonas Bromell, Henry 2002 Drama"
Common Threads: Stories from the Quilt,"Bauer, Gary","Friedman, Jeffrey (I)",1989,Documentary,"Common Threads: Stories from the Quilt (1989) Bauer, Gary Friedman, Jeffrey (I) 1989 Documentary"
Quick Change,"Joshua, Larry","Franklin, Howard",1990,Comedy,"Quick Change (1990) Joshua, Larry Franklin, Howard 1990 Comedy"
Jonas qui aura 25 ans en l'an 2000,Rufus (I),"Tanner, Alain",1976,Drama,"Jonas qui aura 25 ans en l'an 2000 (1976) Rufus (I) Tanner, Alain 1976 Drama"
Q & A,"Hutton, Timothy","Lumet, Sidney",1990,Drama,"Q & A (1990) Hutton, Timothy Lumet, Sidney 1990 Drama"
Quest for the Mighty Sword,"Gemser, Laura","D'Amato, Joe",1990,Fantasy,"Quest for the Mighty Sword (1990) Gemser, Laura D'Amato, Joe 1990 Fantasy"
Carefree,"Rice, Jack","Sandrich, Mark",1938,Comedy,"Carefree (1938) Rice, Jack Sandrich, Mark 1938 Comedy"
"Killing Fields, The","Kennedy, Graham (I)","Joff?, Roland",1984,Drama,"Killing Fields, The (1984) Kennedy, Graham (I) Joff?, Roland 1984 Drama"
Quackser Fortune Has a Cousin in the Bronx,"Doyle, Tony (I)","Hussein, Waris",1970,Comedy,"Quackser Fortune Has a Cousin in the Bronx (1970) Doyle, Tony (I) Hussein, Waris 1970 Comedy"
Kim,"Sheth, Ravi","Davies, John Howard",1984,Drama,"Kim (1984) (TV) Sheth, Ravi Davies, John Howard 1984 Drama"
Jana Aranya,"Dutt, Utpal","Ray, Satyajit",1976,Drama,"Jana Aranya (1976) Dutt, Utpal Ray, Satyajit 1976 Drama"
Wilderness,"Kebbell, Toby","Bassett, Michael J.",2006,Horror,"Wilderness (2006) Kebbell, Toby Bassett, Michael J. 2006 Horror"
Puppet Master II,"Band, Taryn","Allen, Dave (II)",1991,Horror,"Puppet Master II (1991) Band, Taryn Allen, Dave (II) 1991 Horror"
Collision Course,"Leake, Damien","Teague, Lewis",1989,Comedy,"Collision Course (1989) Leake, Damien Teague, Lewis 1989 Comedy"
Pump Up the Volume,"Lucero, Anthony (I)","Moyle, Allan",1990,Comedy,"Pump Up the Volume (1990) Lucero, Anthony (I) Moyle, Allan 1990 Comedy"
Mr. Suave hoy! hoy! hoy! hoy! hoy! hoy!,"Alde, Caloy","Bernal, Joyce E.",2003,Comedy,"Mr. Suave hoy! hoy! hoy! hoy! hoy! hoy! (2003) Alde, Caloy Bernal, Joyce E. 2003 Comedy"
I Am a Sex Addict,"Natasha, Olia","Zahedi, Caveh",2005,Comedy,"I Am a Sex Addict (2005) Natasha, Olia Zahedi, Caveh 2005 Comedy"
Pratidwandi,"Chowdhury, Kalyan","Ray, Satyajit",1972,Drama,"Pratidwandi (1972) Chowdhury, Kalyan Ray, Satyajit 1972 Drama"
"Modern Hero, A","Barthelmess, Richard","Pabst, Georg Wilhelm",1934,Drama,"Modern Hero, A (1934) Barthelmess, Richard Pabst, Georg Wilhelm 1934 Drama"
J.D.'s Revenge,"Jubert, Alice","Marks, Arthur",1976,Horror,"J.D.'s Revenge (1976) Jubert, Alice Marks, Arthur 1976 Horror"
Going the Distance,"Kelly, Nathan (I)","Griffiths, Mark (I)",2004,Comedy,"Going the Distance (2004) Kelly, Nathan (I) Griffiths, Mark (I) 2004 Comedy"
"Phantom Creeps, The","Sharpe, David (I)","Beebe, Ford",1939,Sci-Fi,"Phantom Creeps, The (1939) Sharpe, David (I) Beebe, Ford 1939 Sci-Fi"
My Family,"Rodriguez, Valente","Nava, Gregory",1995,Drama,"My Family (1995) Rodriguez, Valente Nava, Gregory 1995 Drama"
Oscar,"Douglas, Kirk (I)","Landis, John (I)",1991,Comedy,"Oscar (1991) Douglas, Kirk (I) Landis, John (I) 1991 Comedy"
"Private Life of Sherlock Holmes, The","Revill, Clive","Wilder, Billy",1970,Comedy,"Private Life of Sherlock Holmes, The (1970) Revill, Clive Wilder, Billy 1970 Comedy"
Darkness,"Paquin, Anna","Balaguer?, Jaume",2002,Horror,"Darkness (2002) Paquin, Anna Balaguer?, Jaume 2002 Horror"
Oberst Redl,"R?tonyi, R?bert","Szab?, Istv?n (I)",1985,Drama,"Oberst Redl (1985) R?tonyi, R?bert Szab?, Istv?n (I) 1985 Drama"
"Naked Kiss, The","Conrad, Karen","Fuller, Samuel",1964,Drama,"Naked Kiss, The (1964) Conrad, Karen Fuller, Samuel 1964 Drama"
Brown Sugar,"Diggs, Taye","Famuyiwa, Rick",2002,Comedy,"Brown Sugar (2002) Diggs, Taye Famuyiwa, Rick 2002 Comedy"
"Mighty Barnum, The","West, Billy (IV)","Lang, Walter (I)",1934,Comedy,"Mighty Barnum, The (1934) West, Billy (IV) Lang, Walter (I) 1934 Comedy"
"Boy Named Sue, A",,"Wyman, Julie",2000,Documentary,"Boy Named Sue, A (2000)  Wyman, Julie 2000 Documentary"
"Mis?rables, Les","France, Josette (I)","Bernard, Raymond (I)",1934,Drama,"Mis?rables, Les (1934) France, Josette (I) Bernard, Raymond (I) 1934 Drama"
"Nuit porte jarretelles, La","Masse, Marie-H?l?ne","Th?venet, Virginie",1985,,"Nuit porte jarretelles, La (1985) Masse, Marie-H?l?ne Th?venet, Virginie 1985"
Golf,"Rock, Joe (I)","Buckingham, Tom",1922,Short,"Golf (1922) Rock, Joe (I) Buckingham, Tom 1922 Short"
Good Men and True,"Le Moyne, Charles","Paul, Val",1922,Western,"Good Men and True (1922) Le Moyne, Charles Paul, Val 1922 Western"
Prem Pujari,Manmohan (I),"Anand, Dev",1970,Romance,"Prem Pujari (1970) Manmohan (I) Anand, Dev 1970 Romance"
Diabolo menthe,"Chelton, Tsilla","Kurys, Diane",1977,Comedy,"Diabolo menthe (1977) Chelton, Tsilla Kurys, Diane 1977 Comedy"
Desperate Living,"Butow, Steve","Waters, John (I)",1977,Comedy,"Desperate Living (1977) Butow, Steve Waters, John (I) 1977 Comedy"
Perfect Friday,"Griffiths, Fred","Hall, Peter (I)",1970,Comedy,"Perfect Friday (1970) Griffiths, Fred Hall, Peter (I) 1970 Comedy"
Performance,"Sterland, John","Roeg, Nicolas",1970,Drama,"Performance (1970) Sterland, John Roeg, Nicolas 1970 Drama"
Demon Seed,"Wilson, Patricia (I)","Cammell, Donald",1977,Horror,"Demon Seed (1977) Wilson, Patricia (I) Cammell, Donald 1977 Horror"
Gnomes,"Richardson, Lee (I)","Zander, Jack",1980,Animation,"Gnomes (1980) (TV) Richardson, Lee (I) Zander, Jack 1980 Animation"
Panama Lady,"Devlin, Joe","Hively, Jack",1939,Drama,"Panama Lady (1939) Devlin, Joe Hively, Jack 1939 Drama"
God Told Me To,"Rawlins, Lester","Cohen, Larry (I)",1976,Horror,"God Told Me To (1976) Rawlins, Lester Cohen, Larry (I) 1976 Horror"
Riff-Raff,"Kelly, Luke (I)","Loach, Ken",1990,Comedy,"Riff-Raff (1990) Kelly, Luke (I) Loach, Ken 1990 Comedy"
Fremde Haut,"Dienst, Petra","Maccarone, Angelina",2005,Drama,"Fremde Haut (2005) Dienst, Petra Maccarone, Angelina 2005 Drama"
